[Server][19-32-28<->15:11:119]Waiting @ port 3000...
[Server][19-32-32<->15:11:119]Waiting @ port 3000...
[Thread - 0][19-32-32<->15:11:119]Waiting for message...
[Thread - 0][19-32-38<->15:11:119]Received message from client.
[Thread - 0][19-32-38<->15:11:119]Writing message to client.
[Thread - 0][19-32-38<->15:11:119]Wrote message to client.
[Thread - 0][19-32-39<->15:11:119]Received message from client.
[Thread - 0][19-32-39<->15:11:119]Writing message to client.
[Thread - 0][19-32-39<->15:11:119]Wrote message to client.
[Thread - 0][19-32-39<->15:11:119]Received message from client.
[Thread - 0][19-32-39<->15:11:119]Writing message to client.
[Thread - 0][19-32-39<->15:11:119]Wrote message to client.
[Thread - 0][19-32-39<->15:11:119]Received message from client.
[Thread - 0][19-32-39<->15:11:119]Writing message to client.
[Thread - 0][19-32-39<->15:11:119]Wrote message to client.
[Thread - 0][19-32-39<->15:11:119]Writing message to client.
[Thread - 0][19-32-39<->15:11:119]Wrote message to client.
[Thread - 0][19-32-49<->15:11:119]Received message from client.
[Thread - 0][19-32-49<->15:11:119]Writing message to client.
[Thread - 0][19-32-49<->15:11:119]Wrote message to client.
[Thread - 0][19-32-49<->15:11:119]Writing message to client.
[Thread - 0][19-32-49<->15:11:119]Wrote message to client.
[Thread - 0][19-32-53<->15:11:119]Received message from client.
[Thread - 0][19-32-53<->15:11:119]Writing message to client.
[Thread - 0][19-32-53<->15:11:119]Wrote message to client.
[Thread - 0][19-32-53<->15:11:119]Writing message to client.
[Thread - 0][19-32-53<->15:11:119]Wrote message to client.
[Thread - 0][19-32-55<->15:11:119]Received message from client.
[Thread - 0][19-32-55<->15:11:119]Writing message to client.
[Thread - 0][19-32-55<->15:11:119]Wrote message to client.
[Thread - 0][19-32-55<->15:11:119]Writing message to client.
[Thread - 0][19-32-55<->15:11:119]Wrote message to client.
[Thread - 0][19-32-56<->15:11:119]Received message from client.
[Thread - 0][19-32-56<->15:11:119]Writing message to client.
[Thread - 0][19-32-56<->15:11:119]Wrote message to client.
[Thread - 0][19-32-56<->15:11:119]Writing message to client.
[Thread - 0][19-32-56<->15:11:119]Wrote message to client.
[Thread - 0][19-32-57<->15:11:119]Received message from client.
[Thread - 0][19-32-57<->15:11:119]Writing message to client.
[Thread - 0][19-32-57<->15:11:119]Wrote message to client.
[Thread - 0][19-32-57<->15:11:119]Writing message to client.
[Thread - 0][19-32-57<->15:11:119]Wrote message to client.
[Thread - 0][19-32-58<->15:11:119]Received message from client.
[Thread - 0][19-32-58<->15:11:119]Writing message to client.
[Thread - 0][19-32-58<->15:11:119]Wrote message to client.
[Thread - 0][19-32-58<->15:11:119]Writing message to client.
[Thread - 0][19-32-58<->15:11:119]Wrote message to client.
[Thread - 0][19-32-59<->15:11:119]Received message from client.
[Thread - 0][19-32-59<->15:11:119]Writing message to client.
[Thread - 0][19-32-59<->15:11:119]Wrote message to client.
[Thread - 0][19-32-59<->15:11:119]Writing message to client.
[Thread - 0][19-32-59<->15:11:119]Wrote message to client.
[Thread - 0][19-33-1<->15:11:119]Received message from client.
[Thread - 0][19-33-1<->15:11:119]Writing message to client.
[Thread - 0][19-33-1<->15:11:119]Wrote message to client.
[Thread - 0][19-33-1<->15:11:119]Writing message to client.
[Thread - 0][19-33-1<->15:11:119]Wrote message to client.
[Thread - 0][19-33-2<->15:11:119]Received message from client.
[Thread - 0][19-33-2<->15:11:119]Writing message to client.
[Thread - 0][19-33-2<->15:11:119]Wrote message to client.
[Thread - 0][19-33-2<->15:11:119]Writing message to client.
[Thread - 0][19-33-2<->15:11:119]Wrote message to client.
[Thread - 0][19-33-4<->15:11:119]Received message from client.
[Thread - 0][19-33-4<->15:11:119]Writing message to client.
[Thread - 0][19-33-4<->15:11:119]Wrote message to client.
[Thread - 0][19-33-4<->15:11:119]Writing message to client.
[Thread - 0][19-33-4<->15:11:119]Wrote message to client.
[Thread - 0][19-33-7<->15:11:119]Received message from client.
[Thread - 0][19-33-7<->15:11:119]Writing message to client.
[Thread - 0][19-33-7<->15:11:119]Wrote message to client.
[Thread - 0][19-33-7<->15:11:119]Writing message to client.
[Thread - 0][19-33-7<->15:11:119]Wrote message to client.
[Thread - 0][19-33-9<->15:11:119]Received message from client.
[Thread - 0][19-33-9<->15:11:119]Writing message to client.
[Thread - 0][19-33-9<->15:11:119]Wrote message to client.
[Thread - 0][19-33-15<->15:11:119]Received message from client.
[Thread - 0][19-33-15<->15:11:119]Writing message to client.
[Thread - 0][19-33-15<->15:11:119]Wrote message to client.
[Thread - 0][19-33-15<->15:11:119]User admin has logged into the server!
[Server][19-33-25<->15:11:119]Waiting @ port 3000...
[Thread - 1][19-33-25<->15:11:119]Waiting for message...
[Server][19-33-29<->15:11:119]Waiting @ port 3000...
[Thread - 2][19-33-29<->15:11:119]Waiting for message...
[Thread - 1][19-33-33<->15:11:119]Received message from client.
[Thread - 1][19-33-33<->15:11:119]Writing message to client.
[Thread - 1][19-33-33<->15:11:119]Wrote message to client.
